case_id,court_name,debtor_order,masked_birth_id
37048/2017,Municipal Court in Prague,1-Jan,895219R2/XXXX
37463/2016,Regional Court in Pilsen,1-Jan,0356099D/XXXX
37463/2016,Regional Court in Pilsen,2-Feb,600704MM/XXXX
82070/2017,Regional Court in Usti nad Labem,1-Jan,595122EI/XXXX
82070/2017,Regional Court in Usti nad Labem,2-Feb,000709TN/XXXX
84886/2016,Regional Court in Brno,1-Jan,5854272K/XXXX
74579/2015,Regional Court in Brno,1-Jan,920712E8/XXXX
62348/2016,Regional Court in Hradec Kralove,1-Jan,0011247Y/XXXX
82959/2015,Regional Court in Ostrava,1-Jan,010625AY/XXXX
11322/2015,Regional Court in Ceske Budejovice,1-Jan,890305UZ/XXXX
89039/2017,Regional Court in Pilsen,1-Jan,6254084L/XXXX
44309/2015,Regional Court in Ostrava,1-Jan,015905UF/XXXX
13899/2017,Regional Court in Ostrava,1-Jan,000407CY/XXXX
73132/2016,Regional Court in Ostrava,1-Jan,550225FA/XXXX
96748/2015,Regional Court in Usti nad Labem,1-Jan,010410D3/XXXX
96748/2015,Regional Court in Usti nad Labem,2-Feb,750102UW/XXXX
53923/2014,Regional Court in Ostrava,1-Jan,9301205Q/XXXX
85607/2015,Regional Court in Prague,1-Jan,00511564/XXXX
93214/2015,Regional Court in Usti nad Labem,1-Jan,040122ZJ/XXXX
45942/2015,Regional Court in Prague,1-Jan,86052835/XXXX
2267/2017,Regional Court in Pilsen,1-Jan,010902NZ/XXXX
47357/2017,Regional Court in Hradec Kralove,1-Jan,941205FA/XXXX
47357/2017,Regional Court in Hradec Kralove,2-Feb,030106LQ/XXXX
30154/2018,Regional Court in Ostrava,1-Jan,690401CP/XXXX
24405/2014,Regional Court in Ostrava,1-Jan,930712KR/XXXX
95297/2018,Regional Court in Ceske Budejovice,1-Jan,820222LK/XXXX
95297/2018,Regional Court in Ceske Budejovice,2-Feb,740910QK/XXXX
81676/2017,Regional Court in Ostrava,1-Jan,025507RK/XXXX
88012/2017,Regional Court in Brno,1-Jan,016110EC/XXXX
86990/2016,Regional Court in Brno,1-Jan,000708BX/XXXX
99992/2018,Regional Court in Hradec Kralove,1-Jan,040727ZS/XXXX
99992/2018,Regional Court in Hradec Kralove,2-Feb,030809FH/XXXX
19136/2016,Regional Court in Ceske Budejovice,1-Jan,685214QL/XXXX
76456/2014,Regional Court in Ostrava,1-Jan,795718YE/XXXX
82560/2018,Regional Court in Ostrava,1-Jan,000221R8/XXXX
34065/2017,Regional Court in Usti nad Labem,1-Jan,00060842/XXXX
34065/2017,Regional Court in Usti nad Labem,2-Feb,0101209F/XXXX
95156/2017,Regional Court in Ostrava,1-Jan,001001JO/XXXX
6383/2018,Regional Court in Ceske Budejovice,1-Jan,8761110Q/XXXX
36400/2017,Regional Court in Ostrava,1-Jan,030727HK/XXXX
64904/2016,Regional Court in Brno,1-Jan,931209Z0/XXXX
3260/2017,Regional Court in Ceske Budejovice,1-Jan,026119NU/XXXX
